Sr.,Name,Purity,Weight,Price,Inventory
1,BHIMA Floral 24K 999 Purity Gold Bar 5 gram,24K,5,39896,31
2,CANDERE A KALYAN JEWELLERS COMPANY Floral 24KT Gold Bar-1 gram,24K,1,9133,730
3,BHIMA Floral 24K 999 Purity Gold Bar 1 gram,24K,1,8229,165
4,BHIMA  24K 999 Purity Gold Bar 2 gram,24K,2,16154,200
5,BHIMA Goddess Lakshmi 24KT Gold Coin-2g,24K,2,16154,386
6,BHIMA 24KT Floral Gold Coin-0.5gm,24K,0.5,4367,102
7,CANDERE A KALYAN JEWELLERS COMPANY Floral 24KT Gold Bar- 5 gram,24K,5,44244,862
8,CANDERE A KALYAN JEWELLERS COMPANY Floral 24KT Gold Bar-1 gram,24K,1,9156,762
9,BHIMA BIS Hallmark 22K 916 Purity George Head Gold Coin 4 gram,22K,4,28800,60
10,BHIMA 24KT Flower Gold Coin-2gm,24K,2,16154,394
11,BHIMA BIS Hallmark 22K 916 Purity Lakshmi Gold Coin 4 gram,22K,4,28800,58
12,CANDERE A KALYAN JEWELLERS COMPANY Floral 24KT Gold Bar- 2 g,24K,2,17928,842
13,BHIMA 24KT Goddess Lakshmi Gold Coin-0.5gm,24K,0.5,4367,125
14,BHIMA BIS Hallmark 22K 916 Purity Lakshmi Gold Coin 1 gram,22K,1,7602,195
15,BHIMA BIS Hallmark 22K 916 Purity George Head Gold Coin 1 gram,22K,1,7602,227
16,CANDERE A KALYAN JEWELLERS COMPANY 24KT Gold Coin-4 gram,24K,4,35472,962
17,CANDERE A KALYAN JEWELLERS COMPANY Floral 24KT Gold Bar-2 gram,24K,2,17906,919
18,BHIMA  BIS Hallmark 22K 916 Purity Lakshmi Gold Coin 2 gram,22K,2,14758,197
19,CANDERE A KALYAN JEWELLERS COMPANY Lord Ganesh 24KT Gold Coin-1gram,24K,1,9156,970
20,CANDERE A KALYAN JEWELLERS COMPANY Lord Ganesh 24KT Gold Coin-2 gram,24K,2,17928,937
21,BHIMA  BIS Hallmark 22K 916 Purity George Head Gold Coin 2 gram,22K,2,14758,200
22,CANDERE A KALYAN JEWELLERS COMPANY Swastik 24KT Gold Coin-5 g,24K,5,39819,984
23,CANDERE A KALYAN JEWELLERS COMPANY 24KT Gold Coin-1gram,24K,1,9156,929
24,CANDERE A KALYAN JEWELLERS COMPANY Swastik 24KT Gold Coin-2 gram,24K,2,17928,980
25,CANDERE A KALYAN JEWELLERS COMPANY Swastik 24KT Gold Coin-1gram,24K,1,9156,982
26,BHIMA Floral 24K 999 Purity Gold Bar 20 gram,24K,20,157756,2
27,CANDERE A KALYAN JEWELLERS COMPANY Lord Ganesh 24KT Gold Coin- 5 gram,24K,5,39819,944
28,BHIMA Floral 24K 999 Purity Gold Bar 10 gram,24K,10,79498,15
29,CANDERE A KALYAN JEWELLERS COMPANY 24KT Gold Coin-5 gram,24K,5,44244,980
30,CANDERE A KALYAN JEWELLERS COMPANY Floral 24KT Gold Bar- 5 gram,24K,5,44222,957
31,BHIMA BIS Hallmark 22K 916 Purity Lakshmi Gold Coin 8 gram,22K,8,57617,20
32,BHIMA BIS Hallmark 22K 916 Purity George Head Gold Coin 8 gram,22K,8,57617,20
33,CANDERE A KALYAN JEWELLERS COMPANY 24KT Gold Coin-2 gram,24K,2,17928,970
34,CANDERE A KALYAN JEWELLERS COMPANY Goddess Lakshmi 24KT Gold Coin-2 gram,24K,2,17928,981
35,CANDERE A KALYAN JEWELLERS COMPANY Goddess Lakshmi 24KT Gold Coin-1 g,24K,1,8240,928
